id,section,category,topicEn,topicEs,difficulty,source,questionEn,questionEs,optionAEn,optionAEs,optionBEn,optionBEs,optionCEn,optionCEs,optionDEn,optionDEs,correctKey,explanationEn,explanationEs
Q1-0001,1,Regulation of Contractors,Contractor licensing,la licencia de contratistas,easy,DPOR / Board for Contractors,Which statement is most accurate about contractor licensing?,¿Qué afirmación es más precisa sobre la licencia de contratistas?,Every site superintendent automatically holds the company license personally.,Cada superintendente de obra posee automáticamente la licencia de la empresa a título personal.,Any employee may use the license number for side jobs without involving the company.,Cualquier empleado puede usar el número de licencia para trabajos por cuenta propia sin involucrar a la empresa.,The license belongs permanently to the first owner even after the entity changes.,La licencia pertenece permanentemente al primer dueño aun cuando cambie la entidad.,"A Virginia contractor license is issued to a business entity, not to an individual employee.","Una licencia de contratista de Virginia se emite a una entidad comercial, no a un empleado individual.",D,"Virginia treats the contractor license as a license of the business entity. Certain individuals must qualify the business, but the license itself belongs to the company.","Virginia trata la licencia de contratista como una licencia de la entidad comercial. Ciertas personas califican a la empresa, pero la licencia en sí pertenece a la compañía."
Q1-0002,1,Regulation of Contractors,Contractor licensing,la licencia de contratistas,easy,DPOR / Board for Contractors,A contractor is reviewing contractor licensing. Which answer is best?,Un contratista está revisando la licencia de contratistas. ¿Cuál respuesta es la mejor?,"A Virginia contractor license is issued to a business entity, not to an individual employee.","Una licencia de contratista de Virginia se emite a una entidad comercial, no a un empleado individual.",The license belongs permanently to the first owner even after the entity changes.,La licencia pertenece permanentemente al primer dueño aun cuando cambie la entidad.,Any employee may use the license number for side jobs without involving the company.,Cualquier empleado puede usar el número de licencia para trabajos por cuenta propia sin involucrar a la empresa.,Every site superintendent automatically holds the company license personally.,Cada superintendente de obra posee automáticamente la licencia de la empresa a título personal.,A,"Virginia treats the contractor license as a license of the business entity. Certain individuals must qualify the business, but the license itself belongs to the company.","Virginia trata la licencia de contratista como una licencia de la entidad comercial. Ciertas personas califican a la empresa, pero la licencia en sí pertenece a la compañía."
Q1-0003,1,Regulation of Contractors,Contractor licensing,la licencia de contratistas,easy,DPOR / Board for Contractors,"For a realistic exam scenario on contractor licensing, which option is correct?","Para un escenario realista del examen sobre la licencia de contratistas, ¿qué opción es correcta?",Any employee may use the license number for side jobs without involving the company.,Cualquier empleado puede usar el número de licencia para trabajos por cuenta propia sin involucrar a la empresa.,Every site superintendent automatically holds the company license personally.,Cada superintendente de obra posee automáticamente la licencia de la empresa a título personal.,The license belongs permanently to the first owner even after the entity changes.,La licencia pertenece permanentemente al primer dueño aun cuando cambie la entidad.,"A Virginia contractor license is issued to a business entity, not to an individual employee.","Una licencia de contratista de Virginia se emite a una entidad comercial, no a un empleado individual.",D,"Virginia treats the contractor license as a license of the business entity. Certain individuals must qualify the business, but the license itself belongs to the company.","Virginia trata la licencia de contratista como una licencia de la entidad comercial. Ciertas personas califican a la empresa, pero la licencia en sí pertenece a la compañía."
Q1-0004,1,Regulation of Contractors,Contractor licensing,la licencia de contratistas,easy,DPOR / Board for Contractors,Which choice best matches sound practice regarding contractor licensing?,¿Qué opción coincide mejor con una práctica correcta respecto de la licencia de contratistas?,"A Virginia contractor license is issued to a business entity, not to an individual employee.","Una licencia de contratista de Virginia se emite a una entidad comercial, no a un empleado individual.",Any employee may use the license number for side jobs without involving the company.,Cualquier empleado puede usar el número de licencia para trabajos por cuenta propia sin involucrar a la empresa.,The license belongs permanently to the first owner even after the entity changes.,La licencia pertenece permanentemente al primer dueño aun cuando cambie la entidad.,Every site superintendent automatically holds the company license personally.,Cada superintendente de obra posee automáticamente la licencia de la empresa a título personal.,A,"Virginia treats the contractor license as a license of the business entity. Certain individuals must qualify the business, but the license itself belongs to the company.","Virginia trata la licencia de contratista como una licencia de la entidad comercial. Ciertas personas califican a la empresa, pero la licencia en sí pertenece a la compañía."
Q1-0005,1,Regulation of Contractors,Contractor licensing,la licencia de contratistas,easy,DPOR / Board for Contractors,Which answer would be the safest compliance choice regarding contractor licensing?,¿Qué respuesta sería la opción de cumplimiento más segura respecto de la licencia de contratistas?,Any employee may use the license number for side jobs without involving the company.,Cualquier empleado puede usar el número de licencia para trabajos por cuenta propia sin involucrar a la empresa.,"A Virginia contractor license is issued to a business entity, not to an individual employee.","Una licencia de contratista de Virginia se emite a una entidad comercial, no a un empleado individual.",The license belongs permanently to the first owner even after the entity changes.,La licencia pertenece permanentemente al primer dueño aun cuando cambie la entidad.,Every site superintendent automatically holds the company license personally.,Cada superintendente de obra posee automáticamente la licencia de la empresa a título personal.,B,"Virginia treats the contractor license as a license of the business entity. Certain individuals must qualify the business, but the license itself belongs to the company.","Virginia trata la licencia de contratista como una licencia de la entidad comercial. Ciertas personas califican a la empresa, pero la licencia en sí pertenece a la compañía."
Q1-0006,1,Regulation of Contractors,License classes,las clases de licencia,easy,DPOR / PSI,Which statement is most accurate about license classes?,¿Qué afirmación es más precisa sobre las clases de licencia?,The class determines only whether the firm may hire subcontractors.,La clase determina solo si la empresa puede contratar subcontratistas.,The class applies only to private work and never to public work.,La clase aplica solo al trabajo privado y nunca al trabajo público.,The class of contractor license mainly limits the monetary size of work the business may undertake.,La clase de licencia de contratista limita principalmente el monto económico del trabajo que la empresa puede asumir.,The class identifies the color of the license certificate but not project value.,"La clase identifica el color del certificado de licencia, pero no el valor del proyecto.",C,"In Virginia, the class of license is tied to project and annual contract dollar limits, while classifications or specialties determine the type of work allowed.","En Virginia, la clase de licencia está ligada a los límites monetarios por proyecto y anuales, mientras que las clasificaciones o especialidades determinan el tipo de trabajo permitido."
Q1-0007,1,Regulation of Contractors,License classes,las clases de licencia,easy,DPOR / PSI,A contractor is reviewing license classes. Which answer is best?,Un contratista está revisando las clases de licencia. ¿Cuál respuesta es la mejor?,The class identifies the color of the license certificate but not project value.,"La clase identifica el color del certificado de licencia, pero no el valor del proyecto.",The class of contractor license mainly limits the monetary size of work the business may undertake.,La clase de licencia de contratista limita principalmente el monto económico del trabajo que la empresa puede asumir.,The class determines only whether the firm may hire subcontractors.,La clase determina solo si la empresa puede contratar subcontratistas.,The class applies only to private work and never to public work.,La clase aplica solo al trabajo privado y nunca al trabajo público.,B,"In Virginia, the class of license is tied to project and annual contract dollar limits, while classifications or specialties determine the type of work allowed.","En Virginia, la clase de licencia está ligada a los límites monetarios por proyecto y anuales, mientras que las clasificaciones o especialidades determinan el tipo de trabajo permitido."
Q1-0008,1,Regulation of Contractors,License classes,las clases de licencia,easy,DPOR / PSI,"For a realistic exam scenario on license classes, which option is correct?","Para un escenario realista del examen sobre las clases de licencia, ¿qué opción es correcta?",The class of contractor license mainly limits the monetary size of work the business may undertake.,La clase de licencia de contratista limita principalmente el monto económico del trabajo que la empresa puede asumir.,The class identifies the color of the license certificate but not project value.,"La clase identifica el color del certificado de licencia, pero no el valor del proyecto.",The class determines only whether the firm may hire subcontractors.,La clase determina solo si la empresa puede contratar subcontratistas.,The class applies only to private work and never to public work.,La clase aplica solo al trabajo privado y nunca al trabajo público.,A,"In Virginia, the class of license is tied to project and annual contract dollar limits, while classifications or specialties determine the type of work allowed.","En Virginia, la clase de licencia está ligada a los límites monetarios por proyecto y anuales, mientras que las clasificaciones o especialidades determinan el tipo de trabajo permitido."
Q1-0009,1,Regulation of Contractors,License classes,las clases de licencia,easy,DPOR / PSI,Which choice best matches sound practice regarding license classes?,¿Qué opción coincide mejor con una práctica correcta respecto de las clases de licencia?,The class identifies the color of the license certificate but not project value.,"La clase identifica el color del certificado de licencia, pero no el valor del proyecto.",The class applies only to private work and never to public work.,La clase aplica solo al trabajo privado y nunca al trabajo público.,The class determines only whether the firm may hire subcontractors.,La clase determina solo si la empresa puede contratar subcontratistas.,The class of contractor license mainly limits the monetary size of work the business may undertake.,La clase de licencia de contratista limita principalmente el monto económico del trabajo que la empresa puede asumir.,D,"In Virginia, the class of license is tied to project and annual contract dollar limits, while classifications or specialties determine the type of work allowed.","En Virginia, la clase de licencia está ligada a los límites monetarios por proyecto y anuales, mientras que las clasificaciones o especialidades determinan el tipo de trabajo permitido."
Q1-0010,1,Regulation of Contractors,License classes,las clases de licencia,easy,DPOR / PSI,Which answer would be the safest compliance choice regarding license classes?,¿Qué respuesta sería la opción de cumplimiento más segura respecto de las clases de licencia?,The class determines only whether the firm may hire subcontractors.,La clase determina solo si la empresa puede contratar subcontratistas.,The class applies only to private work and never to public work.,La clase aplica solo al trabajo privado y nunca al trabajo público.,The class of contractor license mainly limits the monetary size of work the business may undertake.,La clase de licencia de contratista limita principalmente el monto económico del trabajo que la empresa puede asumir.,The class identifies the color of the license certificate but not project value.,"La clase identifica el color del certificado de licencia, pero no el valor del proyecto.",C,"In Virginia, the class of license is tied to project and annual contract dollar limits, while classifications or specialties determine the type of work allowed.","En Virginia, la clase de licencia está ligada a los límites monetarios por proyecto y anuales, mientras que las clasificaciones o especialidades determinan el tipo de trabajo permitido."
